order_id,customer_name,email,email_valid,customer_age,order_date,product,category,price,quantity,country,sales_channel,payment_type,order_status,discount_applied,newsletter_signup,source_sheet
5089,Aisha Nguyen,aisha.nguyen49@hotmail.com,true,41,2024-03-04,Cap,Accessories,29.99,2,UK,Instagram,Card,Refunded,false,true,sheet1
5012,Amelia Brown,amelia.brown78gmail.com,false,41,2024-03-07,Cap,Accessories,29.99,1,UK,Instagram,Apple Pay,Cancelled,false,true,sheet1
5268,Anika Kovacs,anika.kovacs23mail.com,false,,2024-01-31,Cap,Accessories,55.0,3,UK,Instagram,Card,Pending,true,true,sheet1
5214,Anika Silva,anika.silva70@gmal.com,true,27,2024-04-27,Cap,Accessories,29.99,1,UK,Facebook,Card,Cancelled,false,true,sheet1
5212,Ava Chen,ava.chen74@gmal.com,true,41,2024-01-25,Cap,Accessories,,3,UK,Tiktok,PayPal,Pending,true,true,sheet1
5443,Ava Conti,ava.conti33gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5483,Ava Conti,ava.conti44gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5523,Ava Conti,ava.conti5523gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5563,Ava Conti,ava.conti5563gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5603,Ava Conti,ava.conti5603gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5643,Ava Conti,ava.conti5643gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5683,Ava Conti,ava.conti5683gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5723,Ava Conti,ava.conti5723gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5763,Ava Conti,ava.conti5763gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5803,Ava Conti,ava.conti5803gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5843,Ava Conti,ava.conti5843gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet1
5883,Ava Conti,ava.conti5883gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet2
5923,Ava Conti,ava.conti5923gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet2
5963,Ava Conti,ava.conti5963gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet2
6003,Ava Conti,ava.conti6003gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet2
6043,Ava Conti,ava.conti6043gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet2
6083,Ava Conti,ava.conti6083gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet2
6123,Ava Conti,ava.conti6123gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet2
6163,Ava Conti,ava.conti6163gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet2
6203,Ava Conti,ava.conti6203gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet3
6243,Ava Conti,ava.conti6243gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet3
6283,Ava Conti,ava.conti6283gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet3
6323,Ava Conti,ava.conti6323gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet3
6363,Ava Conti,ava.conti6363gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet3
6403,Ava Conti,ava.conti6403gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet3
6443,Ava Conti,ava.conti6443gmail.com,false,27,2024-05-28,Cap,Accessories,45.0,3,UK,Tiktok,Google Pay,Pending,false,false,sheet3
5473,Ava Romano,ava.romano22@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5426,Ava Romano,ava.romano33@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5553,Ava Romano,ava.romano5553@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5593,Ava Romano,ava.romano5593@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5396,Ava Romano,ava.romano55gmail.com,false,,2024-05-29,Cap,Accessories,55.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5633,Ava Romano,ava.romano5633@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5673,Ava Romano,ava.romano5673@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5713,Ava Romano,ava.romano5713@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5753,Ava Romano,ava.romano5753@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5793,Ava Romano,ava.romano5793@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5833,Ava Romano,ava.romano5833@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5873,Ava Romano,ava.romano5873@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet2
5913,Ava Romano,ava.romano5913@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet2
5953,Ava Romano,ava.romano5953@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet2
5993,Ava Romano,ava.romano5993@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet2
6033,Ava Romano,ava.romano6033@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet2
6073,Ava Romano,ava.romano6073@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet2
6113,Ava Romano,ava.romano6113@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet2
6153,Ava Romano,ava.romano6153@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet2
6193,Ava Romano,ava.romano6193@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet3
6233,Ava Romano,ava.romano6233@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet3
6273,Ava Romano,ava.romano6273@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet3
6313,Ava Romano,ava.romano6313@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet3
6353,Ava Romano,ava.romano6353@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet3
6393,Ava Romano,ava.romano6393@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet3
6433,Ava Romano,ava.romano6433@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet3
5513,Ava Romano,ava.romano77@mail.com,false,,2024-05-26,Cap,Accessories,45.0,3,UK,Instagram,PayPal,Pending,true,false,sheet1
5346,Ava Silva,ava.silva55@mail.com,true,,2024-06-03,Cap,Accessories,45.0,0,UK,Instagram,PayPal,Cancelled,true,true,sheet1
5020,Callum Khan,callum.khan32@gmal.com,true,34,2024-01-19,Cap,Accessories,,1,UK,Facebook,Card,Refunded,true,false,sheet1
5049,Callum Muller,callum.muller80@,false,,2024-02-06,Cap,Accessories,45.0,1,UK,Email,PayPal,Cancelled,true,false,sheet1
5184,Callum Nielsen,callumnielsen@outlook.com,true,18,2024-04-10,Cap,Accessories,29.99,1,UK,Email,Card,Refunded,false,true,sheet1
5290,Daniel Johnson,daniel.johnson17hotmail.com,false,,2024-02-05,Cap,Accessories,45.0,0,UK,Tiktok,Apple Pay,Cancelled,false,false,sheet1
5213,Daniel Nowak,danielnowak@gmail.com,true,22,2024-01-02,Cap,Accessories,29.99,1,UK,Email,Apple Pay,Cancelled,true,false,sheet1
5479,Elena Romano,elena.romano22gmail.com,false,27,2024-05-28,Cap,Accessories,55.0,2,UK,Tiktok,PayPal,Completed,true,true,sheet1
5432,Elena Romano,elena.romano33gmail.com,false,27,2024-05-28,Cap,Accessories,55.0,2,UK,Tiktok,PayPal,Completed,true,true,sheet1
